"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate2-E01-ITS","S7D",7,"D",2,"E01","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-E02-ITS","P2I",2,"I",2,"E02","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
"plate2-E03-ITS","S7G",7,"G",2,"E03","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate2-E04-ITS","S14D",14,"D",2,"E04","Sap014","Sapling","Plateau",5.534883721,-41.97211199,-71.45967199,6,55,147,18.84955592
"plate2-E05-ITS","S6P",6,"P",2,"E05","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate2-E06-ITS","P10Q",10,"Q",2,"E06","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate2-E07-ITS","P5C",5,"C",2,"E07","Pine005","Pine","Plateau",5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246
"plate2-E08-ITS","S11J",11,"J",2,"E08","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate2-E09-ITS","C11AE",11,"AE",2,"E09","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-E10-ITS","C15G",15,"G",2,"E10","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-E11-ITS","C13AE",13,"AE",2,"E11","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate2-E12-ITS","S11AE",11,"AE",2,"E12","Sap011","Sapling","Plateau",9.157673861,-41.96905696,-71.454769,3.5,41,80,10.99557429
"plate2-F01-ITS","S2J",2,"J",2,"F01","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-F02-ITS","P14F",14,"F",2,"F02","Pine014","Pine","Plateau",10.84024254,-41.97169701,-71.461054,20,108,330,62.83185307
"plate2-F03-ITS","S2D",2,"D",2,"F03","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
